,occurTime,age,occupation,isRock,occurMonth
630,8,10,2,0,1
631,20,20,4,0,3
632,7,10,2,0,4
633,7,20,4,0,6
634,8,10,2,0,7
635,7,20,4,0,7
636,6,40,4,0,7
637,8,10,4,0,8
638,7,10,2,0,8
639,0,30,4,0,12
640,16,10,2,0,12
641,17,10,2,0,10
642,7,10,2,0,10
643,8,70,4,0,3
644,7,10,3,0,12
645,7,10,2,0,11
646,8,10,4,0,11
647,18,40,4,0,7
648,7,10,2,0,11
649,16,20,3,0,9
650,16,10,4,0,12
651,7,20,4,0,12
652,0,30,4,0,5
653,11,50,4,0,5
654,20,10,2,0,6
655,19,10,3,0,10
656,20,10,2,0,11
657,18,10,4,0,7
658,18,10,2,0,3
659,7,10,2,0,12
660,22,10,2,0,4
661,21,60,4,0,5
662,23,70,4,0,9
663,7,10,2,0,11
664,6,10,2,0,1
665,19,10,1,0,6
666,8,10,2,0,8
667,8,10,2,0,12
668,8,10,2,0,5
669,14,10,4,0,1
670,20,10,4,0,2
671,15,10,2,0,5
672,8,10,4,0,7
673,15,10,4,0,9
674,20,20,3,0,10
675,15,10,2,0,12
676,9,10,2,0,6
677,8,10,2,0,6
678,13,30,4,0,1
679,19,10,1,0,9
680,6,20,4,0,7
681,9,50,4,0,7
682,15,20,4,0,6
683,19,10,2,0,4
684,8,10,2,0,5
685,19,10,2,0,6
686,8,10,2,0,6
687,9,10,1,0,8
688,8,10,2,0,11
689,8,10,2,0,10
690,7,10,2,0,6
691,16,40,4,0,3
692,10,10,2,0,8
693,11,10,2,0,12
694,22,10,4,0,3
695,7,10,2,0,5
696,8,10,2,0,10
697,10,30,4,0,5
698,15,70,4,0,5
699,18,50,4,0,10
700,11,10,2,0,12
701,16,10,1,0,11
702,7,40,4,0,2
703,7,10,2,0,5
704,11,70,4,0,6
705,18,10,2,0,7
706,9,10,1,0,8
707,7,30,4,0,8
708,8,50,4,0,8
709,20,10,4,0,8
710,7,10,2,0,9
711,18,10,2,0,9
712,17,10,2,0,9
713,8,10,2,0,10
714,19,10,2,0,10
715,6,10,2,0,11
716,18,30,4,0,7
717,6,20,4,0,11
718,20,10,1,0,10
719,16,70,4,0,9
720,12,10,0,0,12
721,18,70,4,0,9
722,0,20,4,0,5
723,14,10,2,0,9
724,12,40,4,0,12
725,18,30,4,0,8
726,12,40,4,0,5
727,8,20,4,0,9
728,18,30,4,0,2
729,11,10,1,0,8
730,21,10,1,0,9
731,21,10,2,0,9
732,21,30,4,0,8
733,16,10,1,0,11
734,13,10,1,0,4
735,16,50,4,0,3
736,9,10,3,0,7
737,7,10,3,0,9
738,10,10,1,0,2
739,10,20,4,0,2
740,7,10,2,0,2
741,7,10,2,0,3
742,9,10,2,0,3
743,7,20,4,0,4
744,7,10,3,0,5
745,7,40,4,0,5
746,11,10,2,0,6
747,6,10,2,0,6
748,17,60,4,0,8
749,21,30,4,0,9
750,8,10,2,0,10
751,7,10,1,0,11
752,12,20,3,0,9
753,7,10,2,0,1
754,16,10,3,0,10
755,9,20,3,0,12
756,8,10,2,0,1
757,9,10,1,0,1
758,8,10,2,0,2
759,7,50,4,0,2
760,14,10,2,0,3
761,7,10,2,0,5
762,7,10,2,0,5
763,7,30,4,0,8
764,7,10,2,0,10
765,16,30,4,0,11
766,7,10,2,0,12
767,16,10,2,0,12
768,17,20,4,0,1
769,9,10,2,0,5
770,17,40,4,0,6
771,7,10,2,0,3
772,8,10,2,0,3
773,10,10,4,0,12
774,18,20,4,0,3
775,6,10,2,0,12
776,13,10,2,0,12
777,6,10,2,0,1
778,7,20,4,0,8
779,12,10,2,0,12
780,8,10,2,0,12
781,8,40,4,0,7
782,7,30,4,0,8
783,22,20,4,0,8
784,12,30,4,0,4
785,21,30,4,0,8
786,19,10,1,0,7
787,6,10,2,0,1
788,8,10,2,0,5
789,17,10,1,0,11
790,22,20,4,0,3
791,18,10,2,0,5
792,17,10,2,0,4
793,17,10,2,0,11
794,16,70,4,0,12
795,8,10,2,0,10
796,12,20,3,0,7
797,6,20,4,0,3
798,22,20,4,0,6
799,12,20,4,0,5
800,18,20,4,0,5
801,15,70,4,0,7
802,17,20,4,0,6
803,15,50,4,0,5
804,11,40,4,0,8
805,22,30,4,0,9
806,16,10,1,0,12
807,5,10,2,0,8
808,23,20,4,0,8
809,8,10,4,0,9
810,17,10,2,0,10
811,22,10,2,0,2
812,17,10,4,0,5
813,5,20,4,0,6
814,12,10,2,0,7
815,19,10,2,0,2
816,11,20,4,0,2
817,19,10,2,0,2
818,10,10,1,0,3
819,17,20,4,0,5
820,15,10,2,0,7
821,13,10,2,0,9
822,13,10,2,0,9
823,11,20,4,0,9
824,13,20,3,0,10
825,17,10,2,0,10
826,16,10,2,0,12
827,8,50,4,0,7
828,8,10,2,0,8
829,8,10,2,0,7
830,21,10,2,0,3
831,20,20,3,0,6
832,8,10,1,0,7
833,5,10,3,0,8
834,16,20,3,0,10
835,7,10,2,0,10
836,17,10,2,0,11
837,1,20,3,0,4
838,18,20,3,0,11
839,20,10,2,0,2
840,15,20,3,0,2
841,13,10,1,0,5
842,17,10,3,0,6
843,22,20,3,0,9
844,7,10,2,0,11
845,20,20,3,0,8
846,22,10,2,0,7
847,7,40,4,0,2
848,12,10,4,0,2
849,6,10,2,0,7
850,7,10,2,0,7
851,9,10,2,0,9
852,14,30,4,0,5
853,8,10,2,0,8
854,7,50,4,0,9
855,8,10,2,0,10
856,8,10,2,0,12
857,19,10,2,0,4
858,18,10,4,0,8
859,15,10,1,0,2
860,8,10,1,0,11
861,12,20,3,0,12
862,2,10,3,0,11
863,2,20,3,0,11
864,15,10,3,0,11
865,15,10,3,0,11
866,6,10,2,0,1
867,17,20,3,0,10
868,17,40,4,0,12
869,7,10,2,0,11
870,22,20,3,0,1
871,14,10,2,0,8
872,15,70,4,0,1
873,12,10,3,0,6
874,20,20,3,0,7
875,17,10,4,0,9
876,15,10,1,0,10
877,8,10,2,0,7
878,8,10,2,0,11
879,19,10,2,0,9
880,7,10,2,0,10
881,18,30,4,0,10
882,14,20,4,0,8
883,12,10,2,0,1
884,15,50,4,0,5
885,12,10,2,0,9
886,8,20,4,0,5
887,21,50,4,0,7
888,15,10,2,0,7
889,7,10,2,0,12
890,7,10,2,0,12
891,7,10,1,0,7
892,17,70,4,0,7
893,14,10,2,0,2
894,7,10,0,0,6
895,7,10,2,0,3
896,7,10,2,0,8
897,7,70,4,0,10
898,8,10,4,0,11
899,19,10,2,0,5
900,18,60,4,0,11
901,7,10,2,0,6
902,17,10,1,0,9
903,11,70,4,0,9
904,13,10,2,0,9
905,8,20,4,0,7
906,17,10,2,0,4
907,12,30,4,0,11
908,20,30,4,0,11
909,8,10,2,0,11
910,20,10,4,0,12
911,13,10,2,0,12
912,7,10,2,0,7
913,9,10,4,0,7
914,18,70,4,0,4
915,7,20,4,0,8
916,19,30,4,0,7
917,16,40,4,0,6
918,6,10,2,0,2
919,21,30,4,0,7
920,8,20,4,0,7
921,18,40,4,0,10
922,11,10,2,0,7
923,8,10,2,0,8
924,7,10,4,0,5
925,5,10,2,0,12
926,19,10,2,0,2
927,8,20,4,0,3
928,6,60,4,0,5
929,17,10,2,0,8
930,12,10,2,0,10
931,23,50,4,0,8
932,19,50,4,0,7
933,9,10,4,0,2
934,6,10,2,0,5
935,15,10,1,0,1
936,17,10,2,0,2
937,11,10,4,0,3
938,6,10,4,0,9
939,8,10,2,0,10
940,8,10,3,0,10
941,8,10,2,0,11
942,15,40,4,0,4
943,17,20,4,0,7
944,11,10,2,0,3
945,9,10,2,0,7
946,22,10,1,0,10
947,20,30,4,0,10
948,12,70,4,0,9
949,18,20,4,0,11
950,18,10,2,0,4
951,10,50,4,0,3
952,7,10,1,0,3
953,21,10,2,0,6
954,19,20,4,0,7
955,16,30,4,0,9
956,19,20,4,0,10
957,14,10,2,0,2
958,16,10,2,0,8
959,17,10,2,0,11
960,18,10,2,0,8
961,7,10,2,0,10
962,16,10,2,0,12
963,13,20,4,0,7
964,9,70,4,0,8
965,15,10,0,0,5
966,18,10,2,0,7
967,7,10,2,0,1
968,17,10,2,0,1
969,7,10,2,0,7
970,8,10,2,0,7
971,1,30,4,0,7
972,13,10,2,0,8
973,7,40,4,0,7
974,18,10,1,0,10
975,11,30,4,0,1
976,18,10,2,0,4
977,15,70,4,0,5
978,19,40,4,0,7
979,8,40,4,0,4
980,18,30,4,0,5
981,14,10,2,0,3
982,18,10,2,0,6
983,8,10,2,0,8
984,7,10,2,0,10
985,13,70,4,0,1
986,7,20,4,0,4
987,7,20,4,0,4
988,21,40,4,0,6
989,7,10,2,0,1
990,10,10,2,0,4
991,19,10,2,0,5
992,5,10,2,0,7
993,9,60,4,0,10
994,16,10,2,0,10
995,8,10,2,0,7
996,7,10,2,0,8
997,7,10,2,0,4
998,8,10,2,0,5
999,9,20,3,0,6
1000,7,10,2,0,10
1001,7,10,2,0,9
1002,11,20,3,0,4
1003,7,10,2,0,7
1004,6,10,2,0,7
1005,8,30,4,0,6
1006,15,70,4,0,1
1007,8,10,2,0,9
1008,6,10,2,0,7
1009,11,30,4,0,10
1010,9,10,2,0,7
1011,6,10,3,0,8
1012,6,10,2,0,1
1013,7,10,2,0,5
1014,7,10,2,0,5
1015,8,10,3,0,5
1016,6,10,2,0,6
1017,21,10,2,0,8
1018,12,10,4,0,8
1019,7,10,2,0,8
1020,17,10,2,0,3
1021,9,10,2,0,7
1022,7,10,2,0,7
1023,13,10,2,0,6
1024,9,20,3,0,1
1026,18,10,3,0,5
1027,15,10,3,0,8
1028,9,10,3,0,11
1029,19,10,1,0,12
1030,18,10,2,0,2
1031,18,20,4,0,8
1032,14,10,1,0,8
1033,13,10,2,0,11
1034,12,10,2,0,12
1035,6,10,2,0,2
1036,7,10,2,0,8
1037,8,20,4,0,10
1038,9,10,1,0,2
1039,13,10,2,0,3
1040,18,20,3,0,3
1041,9,50,4,0,7
1042,12,40,4,0,7
1043,21,10,4,0,9
1044,8,10,2,0,11
1045,8,10,2,0,11
1046,12,10,2,0,12
1047,8,30,4,0,12
1048,20,10,3,0,9
1049,6,10,2,0,1
1050,7,10,2,0,1
1051,18,10,1,0,4
1052,21,10,1,0,7
1053,7,10,2,0,9
1054,5,10,2,0,11
1055,10,20,3,0,1
1056,12,20,3,0,2
1057,12,20,3,0,2
1058,18,20,3,0,2
1059,10,10,3,0,4
1060,12,10,3,0,4
1061,10,10,3,0,6
1062,11,20,3,0,6
1063,10,20,3,0,6
1064,8,10,3,0,8
1065,10,10,3,0,8
1066,13,20,3,0,9
1067,23,20,3,0,9
1068,17,20,3,0,9
1069,16,20,3,0,9
1070,18,10,3,0,9
1071,9,20,3,0,10
1072,16,10,3,0,10
1073,7,10,3,0,11
1074,15,20,3,0,12
1075,20,30,4,0,4
1076,8,10,2,0,2
1077,7,10,3,0,3
1078,16,10,3,0,7
1079,19,10,3,0,8
1080,18,10,3,0,11
1081,14,70,4,0,6
1082,23,30,4,0,12
1083,20,20,3,0,4
1084,15,20,3,0,7
1085,18,20,3,0,7
1086,7,10,3,0,8
1087,19,10,2,0,10
1088,14,10,3,0,12
1089,22,20,3,0,8
1090,14,20,3,0,9
1091,22,20,3,0,10
1092,17,10,3,0,7
1093,18,10,1,0,8
1094,18,20,3,0,3
1095,22,10,3,0,7
1096,19,40,4,0,5
1098,12,10,2,0,9
1099,17,20,3,0,6
1100,9,30,4,0,9
1101,17,20,4,0,12
1102,14,10,2,0,1
1103,20,20,3,0,9
1104,15,20,3,0,3
1105,20,20,3,0,7
1106,7,10,2,0,1
1107,10,10,2,0,1
1108,15,70,4,0,4
1109,22,30,4,0,1
1110,18,50,4,0,12
1111,13,10,2,0,5
1112,13,10,4,0,6
1113,18,10,2,0,6
1114,16,10,3,0,6
1115,18,10,2,0,6
1116,13,10,2,0,8
1117,20,10,2,0,8
1118,17,10,2,0,9
1119,19,20,3,0,9
1120,20,10,2,0,10
1121,13,10,2,0,12
1122,8,40,4,0,12
1123,21,20,3,0,9
1124,17,20,3,0,3
1125,9,20,3,0,10
1126,11,10,2,0,10
1127,17,30,4,0,2
1128,19,10,1,0,6
1129,16,40,4,0,11
1130,22,50,4,0,9
1131,4,50,4,0,12
1132,18,10,2,0,3
1133,18,10,2,0,8
1134,21,10,2,0,1
1135,14,10,2,0,2
1137,18,10,2,0,4
1138,16,10,2,0,8
1139,8,40,4,0,1
1140,17,10,2,0,6
1141,8,10,2,0,10
1142,19,10,2,0,11
1143,14,10,2,0,12
1144,17,20,3,0,1
1145,19,10,2,0,1
1146,22,20,3,0,1
1147,10,20,4,0,2
1148,13,10,2,0,3
1149,16,20,3,0,6
1150,23,20,3,0,7
1151,15,50,4,0,8
1152,22,40,4,0,8
1153,11,20,4,0,9
1154,18,40,4,0,9
1155,12,40,4,0,9
1156,17,10,3,0,10
