,occurTime,age,occupation,isRock,occurMonth,mahal
445,6,10,3,0,5,12.251759859819025
446,16,10,2,0,5,10.569879554929784
447,7,10,2,0,6,11.618558852591002
448,17,10,2,0,7,10.729923610553513
449,3,40,4,0,8,22.48815145126565
450,12,20,4,0,9,2.5904069287922304
451,16,10,2,0,10,10.839664764801539
452,18,10,2,0,10,11.562671112351863
453,20,10,2,0,10,12.565524035691968
454,15,50,4,0,9,30.266790862418276
455,8,10,2,0,12,12.207399371682639
456,8,40,4,0,1,21.56671424956342
457,15,20,3,0,6,2.27414742667956
458,14,70,4,0,6,50.13544763479445
459,15,30,4,0,8,10.434311210228662
460,18,20,3,0,8,5.174715880123339
461,21,40,4,0,10,21.904351768776703
462,10,70,4,0,12,50.458896356856755
463,18,20,3,0,12,7.169272429336644
464,16,60,4,0,12,40.55449448792877
465,14,60,4,0,4,40.23963750681928
466,17,40,4,0,4,20.747900863532426
467,18,20,3,0,7,5.061866133995366
468,12,50,4,0,1,30.71712091161166
469,6,20,3,0,1,9.138332913316441
470,21,50,4,0,2,31.568708438201824
471,21,10,1,0,2,13.797859374062247
472,16,10,4,0,3,11.142208243789149
473,8,10,4,0,5,11.299162435970224
474,16,20,4,0,6,3.411551419878205
475,17,10,2,0,6,10.769218402781247
476,7,10,2,0,7,11.58214597959429
477,9,10,2,0,7,10.69313501886928
478,16,20,4,0,8,3.4567433305780657
479,13,20,4,0,8,1.628965283482579
480,8,40,4,0,9,20.841418593138368
481,21,10,2,0,9,12.955142381680306
482,23,20,4,0,9,10.334112384331055
483,19,20,3,0,10,6.796071756727688
484,13,30,4,0,12,11.370954318737416
485,23,40,4,0,6,22.525027740790943
486,18,70,4,0,11,50.534474866441876
487,17,20,4,0,9,4.711983197611761
488,13,20,3,0,6,0.9872767996549695
489,22,20,3,0,11,9.931632975639388
490,10,10,1,0,3,11.200555712671546
491,16,20,4,0,3,5.11596482063145
492,10,20,3,0,7,2.9722659036405155
493,19,20,3,0,8,6.154364301824261
494,19,10,3,0,5,11.763771564301079
495,1,20,3,0,9,12.134995520759517
496,17,20,3,0,3,5.648290937343362
497,15,20,3,0,11,4.576868462806268
498,19,20,3,0,12,7.905503316400209
499,0,20,3,0,10,13.315960215125187
500,19,20,3,0,4,6.727214671282829
501,22,20,3,0,5,9.257762120174554
502,22,20,4,0,2,10.373475477477934
503,20,20,4,0,9,7.449720277519152
504,14,10,1,0,12,11.324454577794686
505,16,10,2,0,1,11.962506889430692
506,19,20,3,0,4,6.727214671282829
507,15,10,2,0,5,10.325881961660926
508,11,10,2,0,5,10.306783019346136
